502011130	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DA INDÚSTRIA ELECTRÓNICA - CINEL	09-01-1985	
502077352	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DA INDÚSTRIA METALÚRGICA E METALOMECÂNICA - CENFIM	27-06-1987	
502256877	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DA INDÚSTRIA TÊXTIL - CITEX	04-05-1988	
509906478	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DA INDUSTRIA TEXTIL, VESTUARIO, CONFECÇÃO E LANIFICIOS - MODATEX	01/07/2011	
501926895	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DA REPARAÇÃO AUTOMÓVEL - CEPRA	04-12-1987	
501984720	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DAS INDÚSTRIAS DA MADEIRA E MOBILIÁRIO - CFPIMM	04-12-1987	
508590582	INSTITUTOS PÚBLICOS	CENTRO DE FORMACAO PROFISSIONAL DAS PESCAS E DO MAR [FOR-MAR]	24-04-2008	
501711554	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DE ARTESANATO - CEARTE	25-07-1986	
501903623	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL DOS TRABALHADORES DE ESCRITÓRIO, COMÉRCIO, SERVIÇOS E NOVAS TECNOLOG	03-09-1987	
501886354	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL PARA A INDÚSTRIA DE CERÂMICA - CENCAL	01-09-1987	
501950966	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL PARA A INDÚSTRIA DE ENGARRAFAMENTO DE ÁGUA E TERMALISMO - CINÁGUA	27-05-1987	
503018104	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL PARA A INDÚSTRIA DE LANIFÍCIOS - CILAN	18-03-1993	
502206454	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL PARA A QUALIDADE - CEQUAL	06-07-1989	
501791949	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL PARA O COMÉRCIO E AFINS - CECOA	25-07-1986	
506024717	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL PARA O SECTOR ALIMENTAR [CFPSA]		
504695886	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO PROFISSIONAL PARA O SECTOR DA CRISTALARIA - CRISFORM	24-01-2000	
503683388	INSTITUTOS PÚBLICOS	CENTRO DE FORMAÇÃO SINDICAL E APERFEIÇOAMENTO PROFISSIONAL - CEFOSAP	28-06-1996	
501422897	INSTITUTOS PÚBLICOS	CENTRO DE HISTOCOMPATIBILIDADE DO CENTRO	21-02-1983	31/08/13
501626212	INSTITUTOS PÚBLICOS	CENTRO DE HISTOCOMPATIBILIDADE DO NORTE	21-02-1983	30/06/13
501430466	INSTITUTOS PÚBLICOS	CENTRO DE HISTOCOMPATIBILIDADE DO SUL	21-02-1983	31/01/13
503767336	INSTITUTOS PÚBLICOS	CENTRO DE MEDICINA DE REABILITAÇÃO DA REGIÃO CENTRO - ROVISCO PAIS	23-10-1996	
504791834	INSTITUTOS PÚBLICOS	CENTRO DE REABILITAÇÃO PROFISSIONAL DE GAIA - CRPG	29-09-1999	
509265430	INSTITUTOS PÚBLICOS	CENTRO DE RECURSOS COMUNS E SERVIÇOS PARTILHADOS DA UNIVERSIDADE DE LISBOA		
600020819	INSTITUTOS PÚBLICOS	CENTRO DE SAÚDE CONCELHIO		
505201380	INSTITUTOS PÚBLICOS	CENTRO HOSPITALAR DE CASCAIS	01-06-2000	30/11/12
505950413	INSTITUTOS PÚBLICOS	CENTRO HOSPITALAR DE TORRES VEDRAS	17-11-2001	01/10/12
510412009	INSTITUTOS PÚBLICOS	CENTRO HOSPITALAR DO OESTE	01/10/2012	
508877547	INSTITUTOS PÚBLICOS	CENTRO HOSPITALAR DO OESTE NORTE	22-01-2009	01/10/12
508412110	INSTITUTOS PÚBLICOS	CENTRO HOSPITALAR PSIQUIÁTRICO DE COIMBRA	12-12-2007	16-12-2011
508338476	INSTITUTOS PÚBLICOS	CENTRO HOSPITALAR PSIQUIÁTRICO DE LISBOA	19-10-2007	
672001560	INSTITUTOS PÚBLICOS	CENTRO INTEGRADO DE FORMAÇÃO PROFESSORES	21-06-1988	
503829250	INSTITUTOS PÚBLICOS	CENTRO LEONARDO COIMBRA,DE INV.CIENT.,DE APOIO TÉCN.E DE SERVIÇOS, DA FACULDADE DE LETRAS - CLC-FLUP	20-09-1994	
501897968	INSTITUTOS PÚBLICOS	CENTRO PROTOCOLAR DE FORMAÇÃO PROFISSIONAL PARA JORNALISTAS - CENJOR	07-11-1987	
502104511	INSTITUTOS PÚBLICOS	CENTRO PROTOCOLAR DE FORMAÇÃO PROFISSIONAL PARA O SECTOR DA JUSTIÇA - CPJUSTIÇA	10-08-1988	
501603409	INSTITUTOS PÚBLICOS	CINEMATECA PORTUGUESA - MUSEU DO CINEMA	03-04-1980	
500766673	INSTITUTOS PÚBLICOS	COFRE DE PREVIDÊNCIA DA POLÍCIA DE SEGURANÇA PÚBLICA	31-12-1959	
503268011	INSTITUTOS PÚBLICOS	COMISSÃO DE ACESSO AOS DOCUMENTOS ADMINISTRATIVOS	26-08-1993	
600076849	INSTITUTOS PÚBLICOS	COMISSÃO DE COORDENAÇÃO E DESENVOLVIMENTO REGIONAL DE LISBOA E VALE DO TEJO [CCDR LVT]	23-05-2003	
